dataset,model,participant,n_recordings,n_chunks,folds,BWMD,SRE,WCR,EDD,s_BWMD,s_SRE,s_WCR,s_EDD,RPFI,RPFI_alt_agg,RMSE,PSNR_dB,SNR_ref_dB,g_SNR,cri,si,CCC,Spearman,HR_label_bpm,HR_pred_bpm,HR_MAE_bpm,PRV_sdnn_label_ms,PRV_sdnn_pred_ms,PRV_rmssd_label_ms,PRV_rmssd_pred_ms,PRV_n_rr_label,PRV_n_rr_pred
cohface,bimamba_blend,cohface_16,4,24,1,0.8515329758255333,1.2767024269245608,0.18666937026489475,0.8696626286837957,0.05626741281529968,0.7872162621792399,0.18666937026489475,0.13033737131620426,16.16708068260228,25.639176162314715,1.2767024269245608,11.94350384837711,5.360624527999207,1.0,0.08622497507460755,6.510946786642197e-05,0.1850154565424681,0.18915024084853474,57.5,70.5,14.0,119.75309343520948,203.36948487147242,115.90604180246945,272.40444207888515,214,335
cohface,bimamba_blend,cohface_17,2,12,4,0.68203903094214,1.250741844929038,0.22017498722415202,0.8313486991404698,0.24425037019045193,0.7915430258451603,0.22017498722415202,0.16865130085953017,27.814663328031543,33.13664725653193,1.250741844929038,11.796022960233385,6.304412445890647,1.0,0.03542012624800257,0.00016729449380812356,0.2178224186717534,0.22370384005274999,58.5,78.0,19.5,193.282474758559,159.5120187305548,254.44532662720331,230.34199016339264,177,160
cohface,bimamba_blend,cohface_18,4,24,3,0.6243458921245398,1.2853985111188155,0.17559761869866128,0.7791969082091361,0.308236885240585,0.7857669148135308,0.17559761869866128,0.22080309179086388,29.368431105608185,34.646435250265284,1.2853985111188155,13.77773111491684,5.585519792494887,1.0,0.07007617611018925,8.152818746746773e-05,0.1738753338067663,0.17818104603650373,77.75,69.5,10.25,52.82297223756275,192.10598472796624,66.85141710623621,256.97293188057427,283,309
cohface,bimamba_blend,cohface_19,4,24,4,0.7654246670918617,1.2465210134535756,0.23215109598439843,0.8682313051249967,0.1517687272809245,0.7922464977577374,0.23215109598439843,0.1317686948750033,23.32493400475519,29.9978985506145,1.2465210134535756,15.297053087959318,4.069214723006845,1.0,0.2555524508248683,1.7898329464419404e-05,0.22309268150933548,0.2457387176969929,69.5,73.0,7.5,86.53656704703857,166.57284180774178,110.62026082623001,215.1944800870315,252,301
cohface,bimamba_blend,cohface_2,3,18,1,0.7247560612970623,1.2873609260863945,0.1759763598528265,0.8433387200163086,0.19687361167599948,0.7854398456522675,0.1759763598528265,0.1566612799836914,23.983218909063968,30.02752165858396,1.2873609260863945,11.558957366481053,8.946802455498705,1.0,0.002607369994560177,0.0023448235585677188,0.17135092299299026,0.1829145151425809,70.0,68.66666666666667,6.666666666666668,65.84252806671962,208.1343869983711,56.90901829794961,268.5415004146174,194,245
cohface,bimamba_blend,cohface_20,4,24,2,0.5903773047213049,1.354018511035193,0.08039018854610185,0.8937230601263397,0.3459108890069702,0.7743302481608012,0.08039018854610185,0.10627693987366027,20.71682690198013,30.40117608728139,1.354018511035193,9.982290164926829,6.960067234619492,1.0,0.01870527579685979,0.00032222675761621407,0.08331693588701963,0.07600006753472516,75.5,68.75,9.749999999999998,37.017871267117464,183.6045590153743,43.5297745209101,232.2023050009651,276,292
cohface,bimamba_blend,cohface_21,4,24,3,0.7426126058986222,1.3929592280746943,0.02584761070199653,0.8412396371989603,0.1770692106101568,0.7678401286542176,0.02584761070199653,0.15876036280103967,13.042823406105267,24.619514468469745,1.3929592280746943,12.472885003463215,5.130152459720801,1.0,0.10620051902942763,5.170793794984374e-05,0.029832294460775906,0.019870585063827478,86.5,64.5,22.5,59.91279309264179,206.9488050615792,54.41071875825085,272.0262628336332,328,316
cohface,bimamba_blend,cohface_22,4,24,3,0.6719719710609923,1.4567272908415423,-0.06035377507489441,0.851954479122122,0.25541558137149345,0.7572121181930763,0.0,0.14804552087787803,0.6793550089248409,25.76762022256389,1.4567272908415423,11.461913812658624,5.6846389176611805,1.0,0.06388588644461408,9.002248289616045e-05,-0.06102719994126968,-0.05934363777533149,60.75,62.25,6.000000000000003,194.46626484653785,204.03053861272878,198.3640355464937,262.48603194743333,258,301
cohface,bimamba_blend,cohface_23,4,24,4,0.5893994980552875,1.4421873880789151,-0.04042212292111925,0.9088001687888968,0.34699535836040674,0.7596354353201809,0.0,0.0911998312111032,0.6764207936069307,27.42656608143788,1.4421873880789151,7.758773717617587,6.790830283375761,1.0,0.022078388445208593,0.0002720725426832355,-0.039952231166941785,-0.04112696055238544,84.75,73.0,12.75,77.90368405311953,175.35876459927113,105.05910225195339,238.09000653339626,318,313
cohface,bimamba_blend,cohface_24,4,24,1,0.7190414491565486,1.4697677357808554,-0.07891776846791473,0.8068082473134045,0.20321159437599956,0.7550387107031907,0.0,0.1931917526865955,0.6686149840764455,25.060957099075715,1.4697677357808554,13.72279247430737,4.174206693901014,1.0,0.23609544648217343,1.9879665437798723e-05,-0.08010859857119113,-0.07713152331300015,92.25,66.0,26.25,81.71627850614023,202.53307026315866,98.26622003516769,263.70170762440443,344,322
